epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,76.1226,0.87575,0.94394,0.78179,1.05682,0,0.9128,0.93747,0.98959,0.76208,0.91626,0.94147,0.98966,0.70327,0.81683,0.86476,0.67029,1.00994,0,0.00111001,0.00111001,0.00111001
29,78.7308,0.88785,1.02428,0.76075,1.04252,0,0.9552,0.95884,0.98655,0.74588,0.96287,0.96684,0.98941,0.66104,0.87705,0.95,0.67873,1.04231,0,0.00108938,0.00108938,0.00108938
30,81.4541,0.84665,0.99418,0.74723,1.0298,0,0.93861,0.95099,0.98537,0.7582,0.94257,0.95456,0.98591,0.65401,0.81851,1.04466,0.69677,1.00141,0,0.00106876,0.00106876,0.00106876
31,84.0831,0.8595,0.91803,0.74782,1.04228,0,0.92768,0.95833,0.98551,0.76846,0.9414,0.94471,0.98599,0.64755,0.81729,1.04197,0.68648,1.0243,0,0.00104813,0.00104813,0.00104813
32,86.7165,0.82257,0.91982,0.70792,1.02441,0,0.90243,0.95846,0.9751,0.75067,0.90636,0.96246,0.97694,0.65613,0.8375,0.95345,0.68499,1.02776,0,0.0010275,0.0010275,0.0010275
33,89.2881,0.82884,0.88388,0.68216,1.01177,0,0.9156,0.94706,0.98003,0.7422,0.91937,0.95106,0.98152,0.62105,0.88979,1.0869,0.64849,1.06257,0,0.00100687,0.00100687,0.00100687
34,91.8878,0.81201,0.95205,0.67729,1.00896,0,0.94024,0.96996,0.99015,0.7733,0.94392,0.97396,0.99033,0.69215,0.80881,0.89425,0.59527,1.03337,0,0.000986239,0.000986239,0.000986239
35,94.5222,0.803,0.90817,0.66558,0.98864,0,0.97171,0.95739,0.99056,0.76664,0.97171,0.95739,0.9906,0.67891,0.8398,0.95987,0.60451,1.05875,0,0.00096561,0.00096561,0.00096561
36,97.1429,0.78157,0.87112,0.66205,0.98464,0,0.96076,0.97135,0.99171,0.77598,0.96076,0.97135,0.99171,0.70985,0.81831,0.83748,0.56817,1.03614,0,0.000944981,0.000944981,0.000944981
37,99.9034,0.77898,0.88621,0.65443,1.00809,0,0.96316,0.96957,0.99174,0.78803,0.96316,0.96957,0.99174,0.71229,0.79444,0.82126,0.55003,1.02836,0,0.000924352,0.000924352,0.000924352
