epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2159.13,0.51488,0.42335,0.29618,0.88408,0,0.93732,0.90254,0.95769,0.78331,0.93713,0.90164,0.95844,0.77172,0.42454,0.35148,0.23764,0.79103,0,0.000474071,0.000474071,0.000474071
29,2232.89,0.50995,0.42139,0.29268,0.88468,0,0.91729,0.87364,0.94749,0.7996,0.91736,0.87371,0.94589,0.77002,0.41222,0.33141,0.22898,0.78294,0,0.000438703,0.000438703,0.000438703
30,2306.59,0.50276,0.41376,0.28735,0.88112,0,0.97641,0.90089,0.97212,0.82046,0.97641,0.90089,0.97272,0.79004,0.42301,0.36105,0.22537,0.78883,0,0.000403335,0.000403335,0.000403335
31,2392.31,0.49912,0.38741,0.27488,0.88929,0,0.95681,0.93854,0.96654,0.80943,0.95689,0.93861,0.96803,0.79263,0.42741,0.36054,0.23264,0.7944,0,0.000367967,0.000367967,0.000367967
32,2465.34,0.48916,0.37951,0.26724,0.88442,0,0.90461,0.9153,0.97127,0.81193,0.90454,0.91523,0.96954,0.80875,0.43551,0.34182,0.23183,0.80186,0,0.0003326,0.0003326,0.0003326
33,2538.33,0.48109,0.37375,0.2629,0.87705,0,0.96339,0.91056,0.96865,0.81689,0.96325,0.90992,0.9669,0.79472,0.41581,0.33741,0.22182,0.78819,0,0.000297232,0.000297232,0.000297232
34,2611.44,0.47035,0.36584,0.255,0.8726,0,0.95976,0.92948,0.97273,0.83043,0.96523,0.92379,0.97098,0.80814,0.41368,0.34215,0.22429,0.78937,0,0.000261864,0.000261864,0.000261864
35,2684.55,0.47231,0.36522,0.25345,0.87441,0,0.9693,0.9488,0.97597,0.84162,0.96889,0.9484,0.97432,0.80432,0.40918,0.35469,0.21437,0.77946,0,0.000226497,0.000226497,0.000226497
36,2757.65,0.46259,0.36924,0.24721,0.86951,0,0.96534,0.95275,0.98073,0.8535,0.96508,0.95249,0.97916,0.82339,0.39781,0.34634,0.20968,0.7754,0,0.000191129,0.000191129,0.000191129
37,2830.8,0.45429,0.35481,0.24102,0.86473,0,0.91973,0.96308,0.97875,0.86107,0.91919,0.96205,0.97648,0.82214,0.40141,0.34248,0.21133,0.77564,0,0.000155761,0.000155761,0.000155761
38,2904,0.4525,0.35717,0.23836,0.86318,0,0.97382,0.93045,0.98253,0.86029,0.97346,0.92939,0.9809,0.82408,0.40782,0.34475,0.20765,0.78065,0,0.000120393,0.000120393,0.000120393
39,2977.11,0.45016,0.35726,0.23623,0.86482,0,0.9748,0.94405,0.98133,0.85699,0.97452,0.94359,0.97974,0.82793,0.39279,0.33302,0.20406,0.7742,0,8.50255e-05,8.50255e-05,8.50255e-05
40,3050.21,0.44401,0.34558,0.23021,0.86465,0,0.96784,0.93446,0.98268,0.87613,0.96762,0.93425,0.98112,0.83208,0.39059,0.3248,0.20215,0.7721,0,4.96578e-05,4.96578e-05,4.96578e-05
