epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1141.32,0.50261,0.54355,0.34397,0.87868,0,0.98543,0.99649,0.9938,0.92138,0.98543,0.99649,0.9938,0.85118,0.27262,0.36241,0.23356,0.58035,0,0.00111001,0.00111001,0.00111001
29,1180.92,0.50642,0.52245,0.34938,0.88339,0,0.98887,0.99374,0.99423,0.9154,0.98887,0.99374,0.99423,0.83378,0.27725,0.35072,0.23822,0.58663,0,0.00108938,0.00108938,0.00108938
30,1220.37,0.51277,0.54672,0.35823,0.87992,0,0.99584,0.99191,0.99459,0.92347,0.99584,0.99191,0.99459,0.85616,0.27531,0.3583,0.23241,0.57949,0,0.00106876,0.00106876,0.00106876
31,1259.96,0.51244,0.51247,0.34522,0.88612,0,0.99297,0.99322,0.99487,0.91303,0.99297,0.99322,0.99487,0.84211,0.29082,0.33821,0.31461,0.58647,0,0.00104813,0.00104813,0.00104813
32,1299.44,0.50793,0.5532,0.3475,0.8807,0,0.98373,0.99434,0.99133,0.91542,0.98373,0.99434,0.99133,0.86221,0.2832,0.3425,0.27653,0.58349,0,0.0010275,0.0010275,0.0010275
33,1338.78,0.49621,0.52367,0.34178,0.87121,0,0.99336,0.99244,0.9948,0.91889,0.99336,0.99244,0.9948,0.85268,0.28548,0.3461,0.34843,0.58278,0,0.00100687,0.00100687,0.00100687
34,1378.44,0.49642,0.54179,0.34443,0.87783,0,0.99321,0.99251,0.99447,0.92547,0.99321,0.99251,0.99447,0.85297,0.2662,0.34752,0.36533,0.57717,0,0.000986239,0.000986239,0.000986239
35,1419.24,0.49335,0.53184,0.34233,0.87001,0,0.9942,0.99228,0.99448,0.92347,0.9942,0.99228,0.99448,0.86558,0.27742,0.34676,0.17952,0.57751,0,0.00096561,0.00096561,0.00096561
36,1461.07,0.48911,0.52038,0.33549,0.87229,0,0.98498,0.99559,0.99435,0.92308,0.98498,0.99559,0.99435,0.85995,0.27489,0.33768,0.21474,0.5801,0,0.000944981,0.000944981,0.000944981
37,1505.31,0.47799,0.49602,0.31984,0.86971,0,0.98755,0.9937,0.99354,0.91873,0.98755,0.9937,0.99354,0.86352,0.27707,0.32708,0.2074,0.57785,0,0.000924352,0.000924352,0.000924352
38,1547.54,0.48347,0.51608,0.32927,0.87433,0,0.99332,0.99446,0.99449,0.92593,0.99332,0.99446,0.99449,0.86115,0.27697,0.34123,0.1979,0.5793,0,0.000903722,0.000903722,0.000903722
39,1589.18,0.47494,0.49179,0.31654,0.86678,0,0.98674,0.99572,0.99431,0.93204,0.98674,0.99572,0.99431,0.8636,0.26275,0.33208,0.17329,0.57385,0,0.000883093,0.000883093,0.000883093
40,1631.31,0.48706,0.52517,0.32767,0.87299,0,0.99386,0.99322,0.99484,0.92994,0.99386,0.99322,0.99484,0.86693,0.26401,0.33388,0.28327,0.57589,0,0.000862464,0.000862464,0.000862464
41,1672.75,0.47184,0.5125,0.31661,0.8649,0,0.99333,0.99374,0.99483,0.92282,0.99333,0.99374,0.99483,0.84748,0.27746,0.34118,0.17847,0.57519,0,0.000841835,0.000841835,0.000841835
42,1715.17,0.47474,0.4859,0.31441,0.86509,0,0.98721,0.99203,0.9944,0.91845,0.98721,0.99203,0.9944,0.84864,0.27947,0.33749,0.216,0.57706,0,0.000821206,0.000821206,0.000821206
43,1756.28,0.4778,0.51423,0.31692,0.86957,0,0.99304,0.9924,0.99468,0.93747,0.99304,0.9924,0.99468,0.86862,0.25863,0.33055,0.25661,0.57229,0,0.000800577,0.000800577,0.000800577
44,1796.3,0.47781,0.51655,0.31635,0.86882,0,0.99401,0.99146,0.99478,0.93161,0.99401,0.99146,0.99478,0.85485,0.26346,0.32327,0.19572,0.57043,0,0.000779948,0.000779948,0.000779948
45,1836.06,0.48268,0.51966,0.30728,0.86716,0,0.99352,0.99336,0.99477,0.92523,0.99352,0.99336,0.99477,0.86508,0.26429,0.321,0.36201,0.5706,0,0.000759318,0.000759318,0.000759318
46,1875.05,0.46851,0.47551,0.31093,0.87131,0,0.98974,0.99432,0.99481,0.92159,0.98974,0.99432,0.99481,0.83517,0.26838,0.32757,0.18912,0.57792,0,0.000738689,0.000738689,0.000738689
47,1913.91,0.46431,0.49565,0.3052,0.87011,0,0.99037,0.99442,0.99482,0.93664,0.99037,0.99442,0.99482,0.86573,0.25087,0.32672,0.23604,0.57089,0,0.00071806,0.00071806,0.00071806
48,1952.68,0.47587,0.53097,0.30735,0.86792,0,0.99192,0.99426,0.99485,0.92338,0.99192,0.99426,0.99485,0.86197,0.26423,0.33935,0.17669,0.57226,0,0.000697431,0.000697431,0.000697431
49,1992.06,0.46639,0.50145,0.29893,0.86548,0,0.97933,0.99649,0.99439,0.92793,0.97933,0.99649,0.99439,0.85276,0.27089,0.32178,0.51767,0.57771,0,0.000676802,0.000676802,0.000676802
50,2030.9,0.46229,0.49064,0.30394,0.86105,0,0.99043,0.99419,0.99481,0.9286,0.99043,0.99419,0.99481,0.8589,0.26407,0.3334,0.20438,0.57271,0,0.000656173,0.000656173,0.000656173
51,2070.06,0.46881,0.48745,0.30157,0.86548,0,0.99394,0.98905,0.99466,0.935,0.99394,0.98905,0.99466,0.86314,0.25136,0.33054,0.20703,0.56981,0,0.000635544,0.000635544,0.000635544
52,2108.82,0.44872,0.47538,0.28542,0.86187,0,0.99256,0.99524,0.99488,0.93987,0.99256,0.99524,0.99488,0.8689,0.25096,0.32309,0.16661,0.57123,0,0.000614915,0.000614915,0.000614915
53,2147.84,0.45158,0.48838,0.28904,0.85689,0,0.9918,0.99614,0.99484,0.9377,0.9918,0.99614,0.99484,0.86208,0.25127,0.31452,0.15037,0.56886,0,0.000594286,0.000594286,0.000594286
54,2187.18,0.46098,0.4701,0.28986,0.85905,0,0.99549,0.99141,0.99476,0.93696,0.99549,0.99141,0.99476,0.86329,0.24211,0.31907,0.17786,0.5702,0,0.000573656,0.000573656,0.000573656
